文件名	音素序号	音素	音素起点时间	音素末点时间	是否为元音	音素末边界类型	音素内音高重音类型	所在词语序号	所在词语	词语起点时间	词语末点时间	词末边界类型	词内音高重音类型	
AM-F-2_7polite	2	t	0.862	0.935	0	0	NULL	2	turn	0.862	1.043	1	H*
AM-F-2_7polite	3	ahn%	0.935	1.043	1	1	H*	2	turn	0.862	1.043	1	H*
AM-F-2_7polite	4	dhah%	1.043	1.162	1	1	NULL	3	the	1.043	1.162	1	NULL
AM-F-2_7polite	5	rey%	1.162	1.333	1	0	H*	4	radio	1.162	1.559	1	H*
AM-F-2_7polite	6	diyow%	1.333	1.559	1	1	NULL	4	radio	1.162	1.559	1	H*
AM-F-2_7polite	7	aa	1.559	1.854	1	0	H**	5	off	1.559	2.080	4	H** && L-L%
AM-F-2_7polite	8	f%	1.854	2.080	0	4	L-L%	5	off	1.559	2.080	4	H** && L-L%
AM-F-2_7polite	9	sil	2.080	2.375	0	0	L-L%	6	sil	2.080	2.375	0	L-L%
AM-M-3_12polite	1	sil	0	1.475	0	0	NULL	1	sil	0	1.475	0	NULL
AM-M-3_12polite	2	sh	1.475	1.628	0	0	NULL	2	shut	1.475	1.810	1	H*
AM-M-3_12polite	3	ah	1.628	1.706	1	0	H*	2	shut	1.475	1.810	1	H*
AM-M-3_12polite	4	t%	1.706	1.810	0	1	NULL	2	shut	1.475	1.810	1	H*
AM-M-3_12polite	5	dhah%	1.810	1.911	1	1	NULL	3	the	1.810	1.911	1	NULL
AM-M-3_12polite	6	wihn%	1.911	2.125	1	0	L**	4	window	1.911	2.318	4	L** && L-H%
AM-M-3_12polite	7	dow%	2.125	2.318	1	4	L-H%	4	window	1.911	2.318	4	L** && L-H%
AM-M-3_12polite	8	sil	2.318	3.000	0	0	L-H%	5	sil	2.318	3.000	0	L-H%
AM-M-3_2polite	1	sil	0	0.590	0	0	NULL	1	sil	0	0.590	0	NULL
AM-M-3_2polite	2	yuw%	0.590	0.794	1	1	NULL	2	you	0.590	0.794	1	NULL
AM-M-3_2polite	3	k	0.794	0.890	0	0	NULL	3	could	0.794	1.011	1	NULL
AM-M-3_2polite	4	uhd%	0.890	1.011	1	1	NULL	3	could	0.794	1.011	1	NULL
AM-M-3_2polite	5	s	1.011	1.146	0	0	NULL	4	send	1.011	1.327	1	H*
AM-M-3_2polite	6	ehnd%	1.146	1.327	1	1	H*	4	send	1.011	1.327	1	H*
AM-M-3_2polite	7	aen%	1.327	1.441	1	1	NULL	5	an	1.327	1.441	1	NULL
AM-M-3_2polite	8	iy%	1.441	1.640	1	0	L+H**	6	email	1.441	1.959	4	L+H** && L-H%
AM-M-3_2polite	9	meyl%	1.640	1.959	1	4	L-H%	6	email	1.441	1.959	4	L+H** && L-H%
AM-M-3_2polite	10	sil	1.959	2.687	0	0	L-H%	7	sil	1.959	2.687	0	L-H%
AM-M-3_32impolite	1	sil	0	0.982	0	0	NULL	1	sil	0	0.982	0	NULL
AM-M-3_32impolite	2	yuw%	0.982	1.078	1	1	NULL	2	you	0.982	1.078	1	NULL
AM-M-3_32impolite	3	k	1.078	1.104	0	0	NULL	3	could	1.078	1.176	1	NULL
AM-M-3_32impolite	4	uhd%	1.104	1.176	1	1	NULL	3	could	1.078	1.176	1	NULL
AM-M-3_32impolite	5	s	1.176	1.270	0	0	NULL	4	send	1.176	1.392	1	H*
AM-M-3_32impolite	6	ehnd%	1.270	1.392	1	1	H*	4	send	1.176	1.392	1	H*
AM-M-3_32impolite	7	aen%	1.392	1.513	1	1	NULL	5	an	1.392	1.513	1	NULL
AM-M-3_32impolite	8	iy%	1.513	1.604	1	0	!H**	6	email	1.513	1.749	4	!H** && L-L%
AM-M-3_32impolite	9	meyl%	1.604	1.749	1	4	L-L%	6	email	1.513	1.749	4	!H** && L-L%
AM-M-3_32impolite	10	sil	1.749	2.250	0	0	L-L%	7	sil	1.749	2.250	0	L-L%
AM-M-3_35impolite	1	sil	0	1.027	0	0	NULL	1	sil	0	1.027	0	NULL
AM-M-3_35impolite	2	sh	1.027	1.184	0	0	NULL	2	shut	1.027	1.300	1	H**
AM-M-3_35impolite	3	ah	1.184	1.210	1	0	H**	2	shut	1.027	1.300	1	H**
AM-M-3_35impolite	4	t%	1.210	1.300	0	1	NULL	2	shut	1.027	1.300	1	H**
AM-M-3_35impolite	5	dhah%	1.300	1.389	1	1	NULL	3	the	1.300	1.389	1	NULL
AM-M-3_35impolite	6	wihn%	1.389	1.566	1	0	L*	4	window	1.389	1.678	3	L* && L-
AM-M-3_35impolite	7	dow%	1.566	1.678	1	3	L-	4	window	1.389	1.678	3	L* && L-
AM-M-3_35impolite	8	sp	1.678	1.786	0	0	L-	5	sp	1.678	1.786	0	L-
AM-M-3_35impolite	9	p	1.786	1.845	0	0	NULL	6	please	1.786	2.149	4	L** && L-L%
AM-M-3_35impolite	10	liyz%	1.845	2.149	1	4	L** && L-L%	6	please	1.786	2.149	4	L** && L-L%
AM-M-3_35impolite	11	sil	2.149	2.875	0	0	L-L%	7	sil	2.149	2.875	0	L-L%
AM-M-3_39impolite	1	sil	0	1.051	0	0	NULL	1	sil	0	1.051	0	NULL
AM-M-3_39impolite	2	t	1.051	1.100	0	0	NULL	2	turn	1.051	1.278	1	H*
AM-M-3_39impolite	3	ern%	1.100	1.278	1	1	H*	2	turn	1.051	1.278	1	H*
AM-M-3_39impolite	4	dhah%	1.278	1.369	1	1	NULL	3	the	1.278	1.369	1	NULL
AM-M-3_39impolite	5	rey%	1.369	1.503	1	0	!H*	4	radio	1.369	1.745	1	!H*
AM-M-3_39impolite	6	diyow%	1.503	1.745	1	1	NULL	4	radio	1.369	1.745	1	!H*
AM-M-3_39impolite	7	aa	1.745	1.922	1	0	!H**	5	off	1.745	2.043	4	!H** && L-L%
AM-M-3_39impolite	8	f%	1.922	2.043	0	4	L-L%	5	off	1.745	2.043	4	!H** && L-L%
AM-M-3_39impolite	9	sil	2.043	2.625	0	0	L-L%	6	sil	2.043	2.625	0	L-L%
AM-M-3_7polite	1	sil	0	0.878	0	0	NULL	1	sil	0	0.878	0	NULL
AM-M-3_7polite	2	t	0.878	0.919	0	0	NULL	2	turn	0.878	1.080	1	L+H**
AM-M-3_7polite	3	ern%	0.919	1.080	1	1	L+H**	2	turn	0.878	1.080	1	L+H**
AM-M-3_7polite	4	dhah%	1.080	1.217	1	1	NULL	3	the	1.080	1.217	1	NULL
AM-M-3_7polite	5	rey%	1.217	1.359	1	0	L*	4	radio	1.217	1.520	1	L*
AM-M-3_7polite	6	diyow%	1.359	1.520	1	1	NULL	4	radio	1.217	1.520	1	L*
AM-M-3_7polite	7	aa	1.520	1.768	1	0	L*	5	off	1.520	2.030	4	L* && L-H%
AM-M-3_7polite	8	f%	1.768	2.030	0	4	L-H%	5	off	1.520	2.030	4	L* && L-H%
AM-M-3_7polite	9	sil	2.030	2.500	0	0	L-H%	6	sil	2.030	2.500	0	L-H%
AM-M-4_12polite	1	sil	0	0.827	0	0	NULL	1	sil	0	0.827	0	NULL
AM-M-4_12polite	2	sh	0.827	0.988	0	0	NULL	2	shut	0.827	1.134	1	H*
